1	14
1	21
1	25
1	36
1	37
1	39
1	41
1	59
1	64
1	65
1	71
1	75
1	79
1	93
1	96
2	4
2	7
2	9
2	10
2	11
2	26
2	28
2	34
2	41
2	42
2	53
2	57
2	68
2	91
3	6
3	9
3	19
3	22
3	27
3	30
3	44
3	45
3	52
3	56
3	72
3	78
3	84
3	97
4	10
4	16
4	18
4	21
4	23
4	31
4	38
4	47
4	49
4	54
4	76
4	80
5	9
5	24
5	25
5	32
5	40
5	55
5	56
5	73
5	77
5	81
5	86
5	88
5	92
6	16
6	20
6	29
6	32
6	35
6	50
6	54
6	58
6	72
6	77
6	86
6	97
7	23
7	26
7	28
7	42
7	43
7	64
7	66
7	80
7	82
7	83
7	96
7	100
8	25
8	33
8	36
8	44
8	46
8	51
8	55
8	59
8	64
8	67
8	90
9	15
9	16
9	20
9	29
9	30
9	51
9	61
9	92
10	11
10	30
10	34
10	49
10	66
10	68
10	69
10	85
11	31
11	43
11	47
11	50
11	54
11	87
11	92
11	95
12	15
12	22
12	24
12	27
12	32
12	35
12	45
12	52
12	92
12	94
13	17
13	30
13	31
13	33
13	38
13	58
13	61
13	65
13	87
14	21
14	33
14	37
14	53
14	62
14	65
14	71
14	74
15	17
15	22
15	45
15	51
15	77
15	89
15	92
16	20
16	27
16	44
16	58
16	61
16	98
17	30
17	37
17	46
17	49
17	52
17	54
17	100
18	23
18	29
18	38
18	42
18	50
18	63
18	76
18	99
19	20
19	27
19	52
19	56
19	63
19	79
19	89
19	99
20	35
20	36
20	51
20	86
21	48
21	62
21	71
21	74
21	75
22	24
22	35
22	48
22	60
22	72
23	69
23	76
23	83
23	87
23	97
24	27
24	58
24	60
24	72
24	98
25	33
25	41
25	62
25	67
25	71
26	28
26	31
26	43
26	70
26	76
26	82
27	32
27	51
27	79
28	47
28	50
28	68
28	80
28	100
29	40
29	58
29	61
29	74
29	78
30	40
30	43
30	97
31	33
31	34
31	54
31	100
32	36
32	40
32	56
32	73
33	37
33	62
33	75
34	38
34	53
34	64
34	83
35	61
35	83
35	88
36	46
36	64
36	93
37	67
37	85
37	96
38	47
38	63
38	66
39	48
39	65
39	84
39	85
39	90
39	98
40	55
40	73
40	95
41	59
41	74
41	75
41	90
42	43
42	47
42	69
42	70
43	69
43	82
44	52
44	78
44	88
44	89
45	57
45	58
45	89
45	94
46	48
46	65
46	74
46	93
47	68
47	70
48	59
48	85
49	53
49	57
49	63
50	57
50	88
51	61
52	73
53	66
53	70
54	70
55	81
55	84
55	86
56	84
56	99
57	63
57	82
59	67
59	70
60	62
60	73
60	77
60	94
62	75
63	66
64	85
65	93
66	86
67	90
67	96
68	83
68	91
69	72
69	91
71	93
71	96
72	78
76	87
77	81
78	80
79	81
79	95
80	100
81	95
82	90
84	89
87	91
88	99
91	97
94	98
94	99
95	98
